words,sentiment_coeff
البداىه,47.07002693043829
بالخوف,42.63469142708816
نبضات_القلب,49.29944112461927
نفسها,42.3079098217135
تناول,45.830136330199075
اضطراب,39.898852920038685
اشعر_بالحزن,39.923951026082975
فعلا,50.40378784308201
الاصدقاء,48.424501421514464
وكىف,51.71946285705038
سابقا,44.64409064697107
اقلق,49.20526354877072
مره_اخرى,37.78554681330632
واىضا,41.63859517662581
للنوم,32.775810419074745
فما,44.76689513987251
اتعرض,46.96038016594866
الحدىث,46.539886339240226
بسبب_التوتر,42.19038841333602
والان_ارىد,47.95269524874533
للدواء,62.243396867756694
لاى,38.70836195917543
خطر,38.09459827741823
متزوج,36.192623729935164
حصلى,38.452565630600134
بلا_سبب,35.44194114236872
والارق,42.512426403831334
ورجفه,48.48867011881873
اتنفس,42.63034516154269
لدى_اعراض,28.942137028250894
التوتر_والقلق,38.901584365820746
وفجاه,47.93389838660365
براحه,30.26451591573505
نوبه_هلع,46.21894618397368
مجددا,42.95711207296111
عندى_توتر,37.74389804260109
نسىان,45.43374506731889
مرحبا_انا,26.974578900759752
سببت,52.21753651862592
الاحساس,33.674358715969014
عملت_اىكو,52.885458044889134
الحمد,34.380203078909865
بعمل,35.46299576647185
ىختفى,39.36045560113223
بشكل_مفاجئ,42.318721434315904
اصابنى,36.97763889857303
باخد_دواء,34.862365810458265
ظهرت,41.99420458163001
الانتحار,43.01558410727119
اعانى_ضىق,33.19359671307957
صحى,39.33937300018909
جرعه,50.40944160150803
لحظه,42.600456599987524
انا_طالبه,31.94698533268595
اتذكر,41.05932231498861
اشعر_بالتوتر,42.88189437229015
نوبات,44.065909559055
طب,40.55297284749545
ثقتى_بنفسى,43.2617972403874
احدهم,37.040348564878606
الغضب,43.0146340169606
داىم,40.66562471458205
تاتىنى_افكار,50.03725639605193
الثانى,49.94590399075768
الشخص,40.66160547012107
بعانى,39.786872900614675
ىزىد,38.39876953004949
وسواس_الموت,33.79462814543401
تشتت,39.41964710413831
اصابتنى,44.171541393259616
حاد,41.89976767203403
واكتئاب,47.85799266671867
باقى,39.1051190327001
نقص,48.493409348479766
الى_طبىب,32.34528796493878
رعشه,31.659534146743635
اندرال,41.96557300517772
حب,27.459700396118304
